"Story","Title","Result","Date","Stability","Duration (s)"
"Search for shipments by customer","Display a message if the search string does not match any case","PENDING","2018-04-18T10:50:09.048Z","0.0","0.06"
"Show current shipments","List open shipments with 5 shipments","PENDING","2018-04-18T10:50:09.450Z","0.0","0.01"
"Search for shipments by customer","Search for shipments by exact customer name","PENDING","2018-04-18T10:50:09.003Z","0.0","0.02"
"Search for shipments by customer","Search for shipments by substrings of customer name","PENDING","2018-04-18T10:50:09.028Z","0.0","0.02"
